연번,시도,시군구,법인명,시설명,시설 주소,전화번호,팩스번호,이용자 정원,이용자 현원,종사자 정원
39,서울,노원구,베데스다복지재단,베데스다장애인주간보호센터,"서울특별시 노원구 공릉로58마길 27, 나눔아트센터 2층 (하계동)",02-3391-2126,02-3391-9645,15,15,4
40,서울,노원구,한국봉사회,북부종합사회복지관 장애인주간보호센터,"서울특별시 노원구 동일로245길 56, 북부종합사회복지관 2층 (상계동)",02-934-7717,02-939-0445,15,14,4
41,서울,노원구,서울가톨릭사회복지회,상계장애인주간보호센터,"서울특별시 노원구 덕릉로115나길 25, 상계종합사회복지관 3층 (상계동)",02-951-9930,02-951-9940,16,14,4
42,서울,노원구,한국지체장애인협회,섬김주간보호센터,"서울특별시 노원구 덕릉로70가길 92, 북부장애인종합복지관 3층 (상계동)",02-2092-1781,02-951-1711,12,11,4
43,서울,노원구,성민,성민장애인주간보호센터,"서울특별시 노원구 노원로 440, 순복음비전센터 4층 (상계동)",02-3391-4130,02-931-7976,14,13,4
44,서울,노원구,한국뇌성마비복지회,오뚜기뇌성마비인주간보호센터,"서울특별시 노원구 덕릉로70가길 96, 뇌성마비복지관 3층 (상계동)",02-6926-6955,02-932-4413,10,12,4
45,서울,노원구,한국봉사회,중계종합사회복지관 장애인주간보호센터,"서울특별시 노원구 덕릉로 662, 중계종합사회복지관 1층 (중계동)",02-933-0332,02-952-1132,15,15,4
46,서울,노원구,함께하는복지,평화장애인주간활동센터,"서울특별시 노원구 노원로 331, 평화종합사회복지관 3층 (중계동)",02-949-0122,02-6929-0854,15,13,4
47,서울,노원구,대한불교조계종사회복지재단,하계장애인주간활동센터,"서울특별시 노원구 노원로16길 15, 하계종합사회복지관 1층 (하계동)",02-6928-7350,02-6928-7349,16,10,4
48,서울,노원구,장애우권익문제연구소,하하센터,서울특별시 노원구 한글비석로24가길 72-20 (상계동),02-521-5471,02-6221-5471,10,8,3
49,서울,은평구,정겨우리주간보호센터,정겨우리주간보호센터,서울 은평구 갈현로11길 30,070-7113-5727,0503-8379-2033,12,11,4
50,서울,은평구,사단 서울시장애인부모회,한마음주간보호센터,서울시 은평구 연서로17길47 3층,02-353-4889,02-354-6106,10,10,4
51,서울,은평구,바오로교실,바오로교실주간보호시설,서울시 은평구 증산로5길7 3층,02-305-5180,02-375-860,11,10,4
52,서울,은평구,기원,기원주간보호센터,서울특별시 은평구 통일로 87길 6-19,02-353-1367,02-353-1368,12,11,4
53,서울,은평구,위드,위드주간보호센터,서울특별시 은평구 갈현로15길 11-13,02-385-5841,02-385-5842,13,11,4
54,서울,은평구,사랑의집,사랑의 집,서울특별시 은평구 역말로10길 30-1 1층,070-4652-6802,02-357-7878,10,13,4
55,서울,은평구,은평장애인주간보호센터,은평장애인주간보호센터,"서울특별시 은평구 진흥로 87, 2층",02-387-9227,02-6455-2187,15,12,4
56,서울,은평구,축복의통로주간보호시설,축복의통로장애인주간보호시설,서울특별시 은평구 은평로3길 10 1층,02-2640-3209,02-6940-9320,15,11,4
57,서울,서대문구,한국재활재단,서대문장애인주간보호시설,서울특별시 서대문구 북아현로 4차길  4,02-365-1262,02-365-1263,15,10,4
58,서울,서대문구,사단법인영광,영광시각장애인주간보호시설,서울특별시 서대문구 세무서 10길 54 1층,02-395-0900,02-395-0901,15,15,3
59,서울,서대문구,한국재활재단,다솜장애인주간보호시설,서울특별시 서대문구 증가로4길 53,02-372-4120,02-372-4160,15,14,4
60,서울,마포구,태화복지재단,마포장애인주간보호센터,서울특별시 서울시 마포구 성산로 4길 35 마포장애인종합복지관 3층,02-302-1066,02-302-1067,12,10,4
61,서울,마포구,기아대책,우리마포장애인주간이용센터,서울특별시 마포구 신촌로 26길 10,02-359-1000,02-703-8006,15,12,4
62,서울,마포구,사회복지법인 동화복지재단,하나렘넌트 장애인 주간보호센터,서울시 마포구 월드컵로13길 19-13 1층,02-323-1004,02-323-8100,12,12,4
63,서울,마포구,대한사회복지회 ,염리장애인주간보호센터,"서울특별시 마포구 대흥로 24길 50, 2층",02-3276-1860,02-713-7702,12,9,4
64,서울,양천구,복지동행사회적협동조합,신목장애인주간보호시설,서울특별시 양천구 신목로 5,02-2643-6684,02-2643-7224,20,17,5
65,서울,양천구,서울지적발달장애인복지협회 양천구지부,하은장애인주간보호시설,서울특별시 양천구 목동동로 10길 16-15 4층,02-2654-0562,02-2654-0564,10,11,4
66,서울,양천구,서울가톨릭법인,한빛장애인주간보호센터,서울특별시 양천구 신월로11길16,02-2693-9411,02-2694-1335,13,13,4
67,서울,양천구,기독대학인회,베다니주간보호센터,"서울특별시 양천구 남부순환로65길 12-2, 1층",02-2692-5081,02-2692-9237,10,9,4
68,서울,양천구,맑은샘 법인,맑은샘 주간보호센터,서울특별시 양천구 신월로 192 2층,02-2662-2448,02-3662-2448,12,10,4
69,서울,양천구,하울회,양천희망돌봄센터,"서울특별시 양천구 가로공원로 101, 2층",02-2135-1970,0303-3447-1970,10,10,3
70,서울,강서구,한국뇌성마비복지회,강서뇌성마비주간보호센터,"방화대로45길 69, 2층",02-2662-3491,02-2662-2700,12,11,4
71,서울,강서구,기쁜우리 월드,기쁜우리복지관부설 주간보호센터,서울특별시 강서구 허준로 65,02-3665-3831,02-3665-3292,20,16,4
72,서울,강서구,서울가톨릭사회복지회,꿈자람터,서울특별시 공항대로43길 104,02-2658-6594,02-6951-3764,10,11,4
73,서울,강서구,교남재단,늘푸른마을,"서울특별시 까치산로 73, 6층(화곡동)",02-2697-3880,02-6346-6416,10,15,4
74,서울,강서구,KCU로뎀복지회,로뎀나무,"서울특별시 까치산로18나길 36, 1층",02-2065-0993,02-2065-9287,10,10,4
75,서울,강서구,푸른초장복지,성산푸른초장 주간보호,"서울특별시 양천로30길 14, 3층",02-2665-7273,02-2665-7274,15,11,4
76,서울,강서구,대한예수교장로회총회연합회,우리집 주간보호시설,서울특별시 양천로47길 70-6 / 4층,02-2658-7556,02-2658-7553,10,11,4
77,서울,강서구,여성자원금고,파랑새교육원,"서울특별시 까치산로 134,2층",02-2692-2614,02-2692-2618,10,10,3
78,서울,강서구,서울기독교청년회유지재단,햇볕교실,서울특별시 개화동로21길 4,02-2663-0670,02-2261-0674,12,12,4
79,서울,강서구,한국뇌성마비복지회,40+금곡행복쉼터(미지원),"서울특별시 방화대로45길 69, 6층",070-7576-2706,070-7580-2700,10,10,3
80,서울,구로구,한국척추측만증재단,민들레쉼터장애인주간보호시설,"서울시 구로구 가마산로 231, 5동 101호",02-861-1472,02-861-1471,10,5,3
81,서울,구로구,동광복지재단,양지골장애인주간보호시설,"서울시 구로구 구로중앙로28길 62, 5층",02-859-7732,02-859-7734,12,12,4
82,서울,구로구,하울회,하늘아래주간보호시설,서울특별시 구로구 경인로 23길 8- 301호,070-4240-1046,02-2179-8199,12,12,4
83,서울,구로구,한국지적발달장애인복지협회 서울시협회,예은장애인주간보호시설,서울특별시 구로구 부일로 15길 25-5 금강빌딩4층,02-2616-4282,02-2616-4284,10,10,4
84,서울,구로구,성프란치스꼬수녀회,햇살터,서울특별시 구로구 남부순환로 105라길 25-10 3층 ,02-4423-6140,02-830-1544,12,12,4
85,서울,금천구,사회복지법인 상금,금천발달장애인주간보호센터,"서울특별시 금천구 시흥대로73길 30, 4층 (시흥동, 금천어울림복지센터)",02-6956-3422,,15,10,4
86,서울,금천구,한국재활재단,하누리주간보호센터,서울특별시 금천구 시흥대로2길 57(시흥동),02-802-8024,,15,13,4
87,서울,금천구,혜명복지원,장애인주간보호센터청락원,서울특별시 금천구 금하로29길 36(시흥동),02-806-1374,,16,16,4
88,서울,금천구,개인,볕바라기주간보호센터,서울특별시 금천구 금하로18길 8-1(시흥동),02-866-1314,02-866-1315,10,10,3
89,서울,영등포구,한국지적발달장애인복지협회영등포구지부,새생명장애인주간보호소,서울시 영등포구 도림로 310-1 신이빌딩 3층,02-848-6970,02-848-6999,14,18,4
90,서울,영등포구,한국장애인부모회,영등포구주간보호센터,"서울특별시 영등포구 신길로55, 3층",02-848-2902,02-848-2904,14,11,4
91,서울,영등포구,한국장로교복지재단,모랫말꿈터,서울 영등포구 도영로 37 사회봉사관 3층,02-2181-6120,02-2181-6123,20,16,4
92,서울,영등포구,굿피플우리복지재단,꿈친장애인주간보호센터,서울시 영등포구 은행로55 영산복지센터 1층,02-6181-7536,02-6181-7538,10,10,3
93,서울,영등포구,장애인체육문화연구원,성락주간보호,서울특별시 영등포구 도림로 304 성경학교 2층,02-849-8292,02-849-8293,15,15,4
94,서울,동작구,서울가톨릭사회복지회,사랑손주간보호센터 ,서울특별시 동작구 사당로 90 사랑손동 B1 ,02-525-9010,02-525-9220,10,10,4
95,서울,동작구,사회복지법인SRC,서울남부주간보호센터,서울특별시 동작구 여의대방로20나길 40 ,02-829-7155,02-829-7180,15,13,3
96,서울,동작구,한국지적발달장애인복지협회,보라매주간보호센터,서울특별시 동작구 여의대방로20나길 39,02-840-1590,02-840-1569,10,11,4
97,서울,동작구,한국지적발달장애인복지협회 서울시동작구지부,디딤돌주간보호센터,"서울특별시 동작구 대방동7길57, 1층",02-825-0331,02-826-0331,13,13,3
98,서울,관악구,갑을복지재단,갑을장애인주간보호센터,서울특별시 관악구 난우 16길 13-7 2층,02-6414-8586,02-6414-0014,15,10,4
99,서울,관악구,사회복지법인대한예수교장로회실로암시각장애인복지회,실로암주간보호센터,"서울시 관악구 조원로 127-2, 301호",02-875-2235,02-887-1120,11,11,4
100,서울,관악구,세석밀알,관악밀알주간보호센터,서울특별시 관악구 신림로 58길 8,02-888-4815,070-4878-9189,10,10,3
101,서울,관악구,꿈꾸는 교회,꿈터장애인주간보호센터,서울특별시 관악구 쑥고개로13길 24,02-3285-1968,02-3285-1962,15,12,4
102,서울,관악구,꿈꾸는 교회,꿈터2장애인주간보호센터,서울특별시 관악구 쑥고개로13길 22,02-877-1968,02-878-1966,13,11,4
103,서울,서초구,사회복지법인 서울가톨릭사회복지회,서리풀주간이용센터,서울특별시 서초구 남부순환로340길 15 한우리정보문화센터 2층,070-7209-2940,02-2055-2727,11,11,5
104,서울,서초구,사회복지법인 다니엘,다니엘주간보호센터,서울특별시 서초구 헌릉로468길 21-16,02-445-9630,02-445-8063,10,12,4
105,서울,서초구,사회복지법인 다니엘,다니엘사랑이용센터,서울특별시 서초구 헌릉로 4689길 21-16 다니엘복지원동 b1,02-525-2536,02-525-2537,10,11,4
106,서울,서초구,재단법인 까리따스수녀회유지재단,까리따스장애인주간보호센터,서울시 서초구 남부순환로 2124,02-522-3034,02-522-7004,12,12,4
107,서울,서초구,사회복지법인 서울가톨릭사회복지회,서초구립주간이용센터,"서울 서초구 남부순환로 340길 15, 3층",02-2055-0917,02-2055-2727,12,12,4
108,서울,서초구,사랑의복지재단,하늘동산,"서울특별시 서초구 강남대로65길19, 5층",02-592-7731,070-4009-0146,12,12,4
109,서울,서초구,사회복지법인 대한불교천태종복지재단,바우뫼주간보호센터,"서울특별시 서초구 바우뫼로 43, 1층",02-577-7851,02-577-5869,10,10,4
110,서울,서초구,서울시지적발달장애인복지협회 서초구지부,성민드림주간보호센터,"서울특별시 서초구 효령로 26길 9-9, 2층",02-3487-4879,02-3487-4880,12,12,4
111,서울,강남구,광림,광림주간보호센터,"서울특별시 강남구 압구정로22길 21, 2층",02-2056-5676,02-3442-3030,12,10,4
112,서울,강남구,광림,예수와주간보호센터,"서울특별시 강남구 압구정로22길 21, 1층",02-549-7766,02-3442-3030,12,10,4
113,서울,강남구,하상복지재단,하상주간보호센터,서울특별시 강남구 개포로613,02-560-4215,02-459-4377,12,10,4
114,서울,강남구,서울장애인부모연대,역삼주간보호센터,서울특별시 강남구 테헤란로8길 36,02-518-2270,02-557-2270,15,12,4
115,서울,강남구,밀알복지재단,강남세움주간보호센터,"서울특별시 강남구 광평로60길 22, 2층",02-2184-8769,02-2184-8770,12,12,4
116,서울,강남구,자애종합복지원,성모자애주간보호시설,서울특별시 강남구 헌릉로 757길 35,02-3410-8821,02-3411-9584,15,15,4
117,서울,강남구,자애종합복지원,성모자애제2주간보호시설,서울특별시 강남구 헌릉로 757길 35,02-3410-8821,02-3411-9584,13,13,4
118,서울,강남구,밀알복지재단,해마을주간보호센터,서울특별시 강남구 개포로 617-8,02-3412-7747,02-6499-2026,10,10,4
119,서울,강남구,말아톤복지재단,서울영동주간보호센터,서울특별시 강남구 논현로 132길 20,02-6925-3830,070-8224-3507,12,12,5
120,서울,송파구,사회복지법인 렘넌트,렘넌트주간보호,"서울특별시 송파구 동남로 303-8, 3층",02-951-9904,070-7159-1521,10,11,4
121,서울,송파구,한국장애인부모회 송파지부,마라주간보호,"서울시 송파구 송이로34길 43-1, 3층",02-3401-6008,02-448-6409,10,10,4
122,서울,송파구,무지개동산,무지개동산주간보호,서울시 송파구 성내천로22길 16 2층,02-448-6620,02-448-7788,10,10,3
123,서울,송파구,장애인체육문화연구원,사랑나눔주간보호,서울시 송파구 마천로51길 28- 3층,02-400-8460,02-409-8460,13,11,4
124,서울,송파구,신원복지재단,참사랑주간보호,"서울시 송파구 마천로 89, 별관 311호",02-401-7737,02-6442-7738,10,11,4
125,서울,송파구,말아톤복지재단,하사랑주간보호,"서울특별시 송파구 올림픽로35길 124, 501호(장미A상가, 신천동)",02-421-2016,02-421-2015,10,11,4
126,서울,송파구,사단법인서로사랑,행복주간보호,"서울시 송파구 마천로 89, 별관 4층",02-430-8003,02-6442-8002,10,11,4
127,서울,송파구,함께,행복한사랑주간보호,"서울시 송파구 오금로 548, 1층",02-400-5090,02-400-5181,11,12,3
128,서울,송파구,장애인체육문화연구원,THE채움주간보호,"서울특별시 송파구 위례광장로 188,916호 ",02-2043-8460,02-2179-8021,10,10,4
129,서울,송파구,승가원,삼전주간보호,"서울특별시 송파구 백제고분로32길 35, 3층",02-421-6077,02-421-6079,15,7,1
130,서울,강동구,한국장애인부모회 강동구지부,아이비주간보호시설,"서울특별시 강동구 구천면로39길12, 2층",02-474-3825,02-474-3822,20,12,5
131,서울,강동구,우성재단,해피죤 주간보호센터,서울시 강동구 상암로195 에이플러스빌딩 502호,02-429-5200,02-429-0052,15,11,4
132,서울,강동구,한국지적발달장애인복지협회 강동구지부,메타아카데미주간보호센터,"서울특별시 강동구 양재대로 121길 25, 202호",02-471-4032,02-486-4032,10,10,3
133,서울,강동구,동안복지재단,동안우리주간보호센터,서울시 강동구 풍성로 146 4층,02-3401-4163,070-8224-5995,10,11,4
134,서울,강동구,홀트아동복지회,홀트주간보호센터,서울특별시 강동구 아리수로93길 41,02-2251-6125,02-2251-6188,10,10,4
135,부산,강서구,호산나복지재단,호산나장애인주간보호센터,부산광역시 강서구 낙동남로 611-3(녹산동),051-941-9190,051-941-9193,12,11,3
136,부산,강서구,개인,해솔장애인주간보호센터,"부산광역시 강서구 명지국제8로10번길 12, 504호(명지동)",051-991-9700,051-991-9701,12,11,3
137,부산,금정구,선아원,이룸장애인주간보호센터,부산광역시 금정구 금샘로 39(장전동),051-514-2842,051-514-2841,15,15,3
138,부산,금정구,부산광역시 금정구장애인협회,금정구장애인복지관 장애인주간보호시설,부산광역시 금정구 서부로 77(서동),051-523-0100,051-523-0024,18,18,3
139,부산,금정구,개인,루하마장애인주간보호센터,부산광역시 금정구 두실로 23(구서동),051-581-0641,051-581-0642,15,12,4
140,부산,기장군,한성복지재단,기장장애인복지관부설주간보호센터,부산광역시 기장군 정관읍 병산로 42-15,051-727-3088,051-727-3090,15,15,3
141,부산,기장군,채움장애복지재단,교리장애인주간보호센터,부산광역시 기장군 기장읍 차성로451번길 46-13,051-724-0919,051-724-0903,15,13,4
142,부산,남구,아띠,아띠 장애인주간보호센터,부산광역시 남구 석포로127번길 97(대연동),051-625-9308,070-8255-9308,20,17,4
143,부산,남구,나사함복지재단,나사함 주간보호센터,"부산광역시 남구 못골번영로 70, 3층(대연동)",051-623-8522,051-627-8521,15,14,3
144,부산,남구,소망재활센터,솔라피데주간보호센터,부산광역시 남구 진남로 160-20(대연동),051-628-8048,051-628-8045,15,12,4
145,부산,남구,부산광역시 남구장애인협회,남구장애인복지관 주간보호센터,부산광역시 남구 조각공원로11번길 38(대연동),070-4648-9304,070-4648-9336,19,15,3
146,부산,남구,비영리민간단체 열린문화공동체 딱,꿈터장애인주간보호센터,부산광역시 남구 진남로96번나길 17-1(대연동),051-643-0338,051-636-0338,13,12,5
147,부산,동구,한결재단,동구장애인주간보호센터,부산광역시 동구 안창로 57(범일동) ,070-4437-0803,051-631-3991,12,12,3
148,부산,동구,큰빛,큰빛장애인주간보호센터,부산광역시 동구 초량중로 27(초량동),051-464-3909,051-466-3320,10,29,3
149,부산,동구,동백,동백복지주간보호센터,"부산광역시 동구 중앙대로236번길 13-5,403호(초량동,화랑빌딩)",051-466-7706,051-463-6566,20,50,3
150,부산,동구,한국시각장애인연합회 부산광역시지부,부산시각장애인주간보호센터,부산광역시 동구 중앙대로320번길 4(초량동),051-462-3292,051-462-3290,12,51,3
151,부산,동구,행복한오늘,행복한 장애인주간보호센터,부산광역시 동구 망양로 748(수정동),051-469-9756,0303-3261-0022,12,10,3
152,부산,동구,동림복지회,동림 장애인 주간보호센터,"부산광역시 동구 중앙대로 509-1, 5층(범일동)",051-469-1255,051-467-1255,20,13,4
153,부산,동래구,양덕사회문화원,징검다리주간보호센터,부산광역시 동래구 시실로107번길 151(명장동),051-529-2430,051-524-2107,21,20,4
154,부산,동래구,부산지적발달장애인복지협회,다솜주간보호센터,"부산광역시 동래구 시실로167번길 64, 2층(명장동)",051-528-5024,051-528-5022,16,16,4
155,부산,동래구,박영학원,사직장애인주간보호센터,"부산광역시 동래구 사직북로63번길 20-7, 3층(사직동)",051-506-3418,051-506-3420,18,17,3
156,부산,동래구,한결재단,늘사랑장애인주간보호센터,부산광역시 동래구 충렬대로 386(안락동),051-522-1650,051-522-1654,12,12,3
157,부산,부산진구,부산광역시장애인부모회,참사랑장애인주간보호센터,"부산광역시 부산진구 가야대로454번길 16, 2층(개금동)",051-892-2005,051-892-2033,15,15,4
158,부산,부산진구,YWCA복지사업단,나래울장애인주간보호센타,부산광역시 부산진구 복지로 117-12(개금동),051-893-0035,051-893-0037,20,17,3
159,부산,부산진구,불국토,개금장애인주간보호센터,부산광역시 부산진구 백양관문로77번길 140(개금동),051-893-5034,051-896-6959,15,14,2
160,부산,부산진구,한국농아인협회,부산데프장애인주간보호센터,"부산광역시 부산진구 새싹로52번길 39, 5층(부전동)",051-819-7715,051-819-7716,20,17,3
161,부산,부산진구,소망재활센터,이레주간보호센터,"부산광역시 부산진구 시민공원로19번길 32-8, 101호(부암동,실로빌딩)",051-819-7784,051-819-7785,16,14,4
162,부산,북구,한국시각장애인연합회 부산지부,부산시각장애인복지관 부설 주간보호센터,부산광역시 북구 시랑로132번길 38(구포동),051-338-1494,051-341-1346,12,35,2
163,부산,북구,한국뇌성마비복지회 부산울산경남지회,부산뇌병변복지관 부설 주간보호센터,부산광역시 북구 학사로 246(금곡동),051-332-5005,051-333-0297,20,11,4
164,부산,북구,로뎀복지재단,만덕장애인주간보호센터,부산광역시 북구 함박봉로140번길 102(만덕동),051-332-8004,051-332-8884,15,15,3
165,부산,북구,부산광역시 북구장애인협회,북구장애인종합복지관 주간보호센터,부산광역시 북구 금곡대로616번길 145(금곡동),051-365-1462,051-363-4477,15,15,2
166,부산,북구,한국뇌성마비복지회 부산울산경남지회,부산뇌병변복지관부설 CCI 마실 장애인주간보호센터,"부산광역시 북구 금곡대로285번길 46, 603호(화명동)",051-711-9036,051-711-9035,15,10,4
167,부산,사상구,주는사랑복지재단,부산광역시사상구장애인복지관부설주간보호센터,부산광역시 사상구 모라로192번길 21(모라동),051-986-4030,051-302-5524,14,14,3
168,부산,사상구,개인,체리동산주간보호센터,부산광역시 사상구 가야대로366번길 107(주례동),051-314-7007,051-326-7008,15,11,3
169,부산,사상구,선우,들꽃주간보호센터,부산광역시 사상구 사상로342번길 40-6(덕포동),051-301-6013,051-301-6014,15,13,4
170,부산,사상구,개인,반딧불이장애인주간보호센터,부산광역시 사상구 주례로 135(주례동),051-322-0061,051-322-0016,15,11,4
171,부산,사상구,개인,예원주간보호센터,"부산광역시 사상구 사상로 84-8, 1층(감전동)",051-313-6885,051-313-6883,15,12,3
172,부산,사하구,부산광역시 사하구장애인협회,장애인복지관 부설 주간보호센터,부산광역시 사하구 사하로68번길 65(구평동),051-261-8701,051-261-1267,12,10,3
173,부산,사하구,개인,행복나눔장애인주간보호센터,"부산광역시 사하구 윤공단로 53, 2층(다대동)",051-241-1365,051-902-2622,16,10,4
174,부산,사하구,개인,해온장애인주간보호센터,부산광역시 사하구 감천로139번길 49(감천동),051-201-0283,051-262-7350,15,15,4
175,부산,사하구,개인,가온누리 장애인주간보호센터,부산광역시 사하구 윤공단로 35-4(다대동),051-261-5966,051-261-5967,13,12,4
176,부산,사하구,호산나복지재단,꿈마루 장애인 주간보호센터,"부산광역시 사하구 낙동남로1405번길 26, 7층(하단동)",051-710-7371,051-710-7372,12,11,3
177,부산,사하구,개인,연우장애인주간보호센터,"부산광역시 사하구 다대로 413-1, 1층(다대동)",051-265-2538,051-262-2538,12,10,3
178,부산,사하구,더사랑,더사랑장애인주간보호센터,"부산광역시 사하구 윤공단로 53, 1층(다대동)",051-714-1293,051-293-2006,12,11,3
179,부산,서구,로사리오 카리타스,서구장애인주간보호센터,부산광역시 서구 망양로193번길 104(동대신동1가),051-253-1986,051-905-5560,15,14,3
180,부산,서구,부산광역시 서구장애인협회,서구장애인복지관 주간보호센터,부산광역시 서구 보수대로154번길 36(동대신동1가),070-8915-3947,070-7007-8989,20,16,3
181,부산,수영구,로사리오 카리타스,부산가톨릭농아인복지회 주간보호시설,부산광역시 수영구 광일로29번길 59(광안동),051-751-8693,051-753-8654,16,14,3
