,소재지전화,소재지전체주소,사업장명,좌표정보(x),좌표정보(y),이용자 정원,이용자 현원,종사자 정원,이용률
34,062-943-0420,광주광역시 광산구 우산동 1595-1,광산구장애인복지관,35.160875364744,126.810598703652,14,10,4,71.43
35,055-863-0080,경상남도 남해군 남해읍 남변리 96-2,경남지체장애인협회 남해군지회,34.8326967333801,127.902893331799,15,15,4,100.0
36,051-362-7755,부산광역시 북구 금곡동 54-3 북구장애인종합복지관,북구장애인종합복지관,35.267061267749,129.017528327722,15,15,4,100.0
37,061-277-0363,전라남도 목포시 상동 803-3,목포장애인회관,34.8090100402868,126.418883165327,25,16,4,64.0
38,---,경기도 화성시 능동 1119 (동탄3동 동사무소내),장애인기업협회,37.2099607408298,127.058678216004,15,15,4,100.0
39,---,부산광역시 해운대구 반여동 1502-147 해운대구장애인복지관,해운대구장애인복지관,35.2107576290966,129.121925882488,15,14,4,93.33
40,---,부산광역시 해운대구 석대동 429,해운대장애인근로사업장,35.2220513937745,129.12581156519,16,14,4,87.5
41,051-262-2461,부산광역시 사하구 구평동 43 사하구장애인종합복지관,사하구장애인종합복지관,35.0854343592083,128.993056067158,12,11,4,91.67
42,054-278-4572,경상북도 포항시 남구 해도동 181-1,장애인종합복지회관,36.0099914001467,129.367355331552,14,13,4,92.86
43,063-224-4315,전라북도 전주시 완산구 평화동1가 599-1 전주장애인종합복지관,전주장애인복지관,35.7975578401607,127.13232287875,10,12,4,120.0
44,063-562-3777,전라북도 고창군 고창읍 율계리 113 고창군장애인복지관,고창군장애인복지관자판기,35.4441290575993,126.682233945814,15,15,4,100.0
45,---,전라북도 김제시 검산동 1034 (1030-1의 앞도로),한국신장장애인협회전북협회김제지부,35.8076118329758,126.894823859002,15,13,4,86.67
46,02-989-4215,서울특별시 강북구 번동 306-12,강북장애인종합복지관,37.6287936314181,127.039037378632,16,10,4,62.5
47,055-933-7878,경상남도 합천군 합천읍 합천리 524-1번지,시각장애인사무실자판기,35.5678929928414,128.156834809985,10,8,3,80.0
48,031-398-8887,경기도 군포시 산본동 1101 군포문화예술회관,사)군포시장애인단체총연합회,37.3662812176059,126.927300523157,12,11,4,91.67
49,031-731-3403,경기도 성남시 분당구 구미동 300 서울대병원 구내,성남시장애인협회,37.349786822389,127.124231209576,10,10,4,100.0
50,---,서울특별시 노원구 공릉동 708 공릉1단지 장애인협회사무실앞,장애인협회,37.6301101718169,127.070151742228,11,10,4,90.91
51,043-420-6300,충청북도 단양군 단양읍 별곡리 315 단양문화예술회관,단양장애인복지관,36.9856516558362,128.36819060159,12,11,4,91.67
52,043-533-5758,충청북도 진천군 진천읍 벽암리 570-1 생거진천종합사회복지관,(사)충북지체장애인협회 진천군지회,36.8606401694385,127.439516841803,13,11,4,84.62
53,055-883-9167,경상남도 하동군 하동읍 읍내리 1417,지체장애인협회,35.0675511074589,127.744689705948,10,13,4,130.0
54,054-633-6415,경상북도 영주시 휴천동 42-1,영주시장애인종합복지관자판기,36.8186395373863,128.622803913253,15,12,4,80.0
55,054-556-0042,경상북도 문경시 모전동 214-1,문경시장애인종합복지관,36.5872974713123,128.186669066585,15,11,4,73.33
56,043-423-2828,충청북도 단양군 단양읍 별곡리 319 단양장애인복지관,단양장애인복지관,36.9853109125627,128.368657790813,15,10,4,66.67
57,044-850-3080,세종특별자치시 종촌동 674,종촌종합복지센터 장애인보호작업장,36.5026589136608,127.246775356394,15,15,3,100.0
58,---,"제주특별자치도 제주시 이도이동 414 제주학생문화원, 제주도서관",제주장애인기업빛나라주식회사,33.5006347351343,126.54129052008,15,14,4,93.33
59,055-223-6800,경상남도 창원시 의창구 봉곡동 180-6,경남장애인복지회관신관,35.2503488575377,128.679458682061,12,10,4,83.33
60,055-266-2223,경상남도 창원시 의창구 봉곡동 179-1,경남장애인종합복지관,35.250414491147,128.678450283931,15,12,4,80.0
61,055-601-1001,경상남도 창원시 성산구 신월동 31-15 경상남도여성장애인작업장,경상남도여성장애인작업장,35.2269529143256,128.694121620074,12,12,4,100.0
62,032-884-2373,인천광역시 서구 가좌동 198 서구도서관,인천지체장애인협회,37.4942686514713,126.679299276429,12,9,4,75.0
63,032-884-2373,인천광역시 미추홀구 주안동 1580-38 주안도서관,인천지체장애인협회,37.4569893802434,126.69222395922,20,17,5,85.0
64,032-876-3500,인천광역시 미추홀구 학익동 709-1,인천시각장애인연합회,37.4381728437904,126.656042075444,10,11,4,110.0
65,032-888-9969,인천광역시 중구 항동7가 60,한국신체장애복지회,37.4561554120436,126.602915694809,13,13,4,100.0
66,---,충청남도 홍성군 홍성읍 옥암리 62-8,홍성군장애인복지관,36.5976115345937,126.655992785322,10,9,4,90.0
67,041-631-2616,충청남도 홍성군 홍성읍 옥암리 62-8,홍성군지체장애인협회,36.5976115345937,126.655992785322,12,10,4,83.33
68,-334-3457,경기도 용인시 처인구 김량장동 303-3,용인시장애인협회,37.2344722565419,127.206034057773,10,10,3,100.0
69,-334-3457,경기도 용인시 처인구 마평동 704,용인시장애인협회,37.2384857706596,127.212112955707,12,11,4,91.67
70,-334-3457,경기도 용인시 처인구 마평동 704,용인시장애인협회,37.2384857706596,127.212112955707,20,16,4,80.0
71,031-895-3200,경기도 용인시 기흥구 언남동 342-1 1층,용인시서북부장애인종합복지관,37.2966668518739,127.118835598073,10,11,4,110.0
72,031-421-1567,경기도 안양시 동안구 평촌동 934-1 농수산물도매시장(청과동1층),안양시 장애인 스포츠단,37.3825017245671,126.970012470844,10,15,4,150.0
73,031-421-1567,경기도 안양시 동안구 평촌동 934-1 농수산물도매시장(수산동지층),안양시 장애인 스포츠단,37.3825017245671,126.970012470844,10,10,4,100.0
74,031-421-1567,경기도 안양시 동안구 평촌동 934 농수산물도매시장(수산동지층),안양시 장애인 스포츠단,37.3828053726302,126.967631345414,15,11,4,73.33
75,031-421-1567,경기도 안양시 동안구 평촌동 934-1 농수산물도매시장(수산동지층),안양시 장애인 스포츠단,37.3825017245671,126.970012470844,10,11,4,110.0
76,-282-0611,경기도 용인시 수지구 풍덕천동 720 (수지출장소 내 보건소건물),장애인서부상담소,37.3221835995001,127.097458768088,10,10,3,100.0
77,-334-3457,경기도 용인시 처인구 김량장동 286 처인구청 종합민원실,(사)용인시지채장애인협회,37.2345930174077,127.20157145388,12,12,4,100.0
78,-334-3457,"경기도 용인시 처인구 삼가동 556 문화복지행정타운 청소년수련관,문화예술원",용인시장애인협회(수련관),37.2410742217657,127.177721812539,10,10,3,100.0
79,-334-3457,경기도 용인시 처인구 역북동 365-2 차량등록사업소,용인시장애인협회(차량사업소),37.2386982068426,127.180495477958,10,5,3,50.0
80,---,서울특별시 은평구 불광동 304-2,한국장애인협회 은평지회,37.6178235676098,126.922740128199,12,12,4,100.0
81,022-296-8309,서울특별시 성동구 도선동 16-1 보건소 지상1층,지체장애인협회-성동지회,37.563475276854,127.035599216666,12,12,4,100.0
82,02-376-6280,서울특별시 서대문구 남가좌동 270-1 서대문장애인종합복지관,서대문장애인종합복지관,37.5707379134269,126.913859515872,10,10,4,100.0
83,042-222-8182,대전광역시 동구 정동 7-14,장애인의수족보조기자판기,36.3350015205465,127.430695602575,12,12,4,100.0
84,042-285-0030,대전광역시 동구 판암동 240,판암장애인보호작업장,36.3202395918063,127.460087779772,15,10,4,66.67
85,---,부산광역시 강서구 대저2동 1937,장애인총연합회강서구지부,35.1792943851752,128.956942419297,15,13,4,86.67
86,051-265-3505,부산광역시 서구 토성동5가 53-2,장애인복지회 자판기,35.0964439798123,129.021808904944,16,16,4,100.0
87,---,인천광역시 중구 신흥동3가 30-17 중구장애인종합복지관 2층,장애인종합복지관 자판기,37.4526313101,126.628436181281,10,10,3,100.0
88,032-421-2846,인천광역시 중구 인현동 5,(사)인천지체장애인협회,37.4757504483578,126.629737056532,14,18,4,128.57
89,063-271-4271,전라북도 전주시 덕진구 송천동2가 1035,환경사업소 장애인자판기,35.875318731651,127.103672410404,14,11,4,78.57
90,063-271-4271,전라북도 전주시 완산구 서노송동 740-3,서노송동사무소 장애인자판기,35.8282580491002,127.14601421162,20,16,4,80.0
91,063-229-0061,전라북도 전주시 완산구 평화동1가 599-1 장애인종합복지관,전주장애인종합복지관,35.7975578401607,127.13232287875,10,10,3,100.0
92,063-271-4271,전라북도 전주시 덕진구 송천동1가 395-28,송천1동사무소 장애인자판기,35.8571219183137,127.12098799828,15,15,4,100.0
93,063-561-1080,전라북도 고창군 고창읍 월곡리 620,고창군 장애인 연합회,35.4375436041694,126.712964233684,10,10,4,100.0
94,063-271-4271,전라북도 전주시 덕진구 금암동 470-5,금암1동사무소 장애인자판기,35.837601168283,127.132925821721,15,13,3,86.67
95,063-271-4271,전라북도 전주시 덕진구 인후동1가 766-9,인후1동사무소 장애인자판기,35.8374881217079,127.156732141155,10,11,4,110.0
96,063-271-4271,전라북도 전주시 덕진구 인후동1가 456-37,인후3동사무소 장애인자판기,35.8350907970115,127.15768159228,13,13,3,100.0
97,063-532-0700,전라북도 정읍시 수성동 965-1,정읍시장애인종합복지관자판기,35.5775046140518,126.853457860391,15,10,4,66.67
98,---,충청남도 서천군 서면 도둔리 1222-6,장애인협회,36.160121949841,126.505366609077,11,11,4,100.0
99,031-842-2511,경기도 양주시 남방동 1-1,(사)장애인미디어인권,37.7850193816047,127.045245308914,10,10,3,100.0
100,031-876-1224,경기도 의정부시 의정부동 326-2,의정부 지체장애인협회,37.7380611482356,127.033897957884,15,12,4,80.0
101,031-876-1224,경기도 의정부시 의정부동 326-2,의정부 지체장애인협회,37.7380611482356,127.033897957884,13,11,4,84.62
102,031-876-1224,경기도 의정부시 의정부동 326-2,의정부 지체장애인협회,37.7380611482356,127.033897957884,11,11,5,100.0
103,031-876-1224,경기도 의정부시 의정부동 326-2,의정부 지체장애인협회,37.7380611482356,127.033897957884,10,12,4,120.0
104,031-421-1567,경기도 안양시 동안구 평촌동 934-1 농수산물도매시장,안양시 장애인 스포츠단,37.3825017245671,126.970012470844,10,11,4,110.0
105,031-421-1567,경기도 안양시 동안구 평촌동 934-1 농수산물도매시장(관리동2층),안양시 장애인 스포츠단,37.3825017245671,126.970012470844,12,12,4,100.0
106,031-421-1567,경기도 안양시 동안구 평촌동 934-1 농수산물도매시장(청과동1층),안양시 장애인 스포츠단,37.3825017245671,126.970012470844,12,12,4,100.0
107,031-421-1567,경기도 안양시 동안구 평촌동 934-1 농수산물도매시장(수산동1층),안양시 장애인 스포츠단,37.3825017245671,126.970012470844,12,12,4,100.0
108,031-421-1567,경기도 안양시 동안구 평촌동 934-1 농수산물도매시장(수산동2층),안양시 장애인 스포츠단,37.3825017245671,126.970012470844,10,10,4,100.0
109,031-421-1567,경기도 안양시 동안구 평촌동 934-1 농수산물도매시장(관리동1층),안양시 장애인 스포츠단,37.3825017245671,126.970012470844,12,12,4,100.0
110,0708-933-9901,"서울특별시 은평구 역촌동 14-34 (은평구평생학습관 1층, 2층)",(사)서울시지체장애인협회 은평구지회,37.6077986822948,126.921188292247,12,10,4,83.33
111,02-722-9705,서울특별시 서대문구 남가좌동 270-1,장애인종합복지관,37.5707379134269,126.913859515872,12,10,4,83.33
112,022-292-1063,서울특별시 성동구 도선동 365-2,성동구립장애인작업장,37.5640629734064,127.031224502937,12,10,4,83.33
113,02-376-6283,서울특별시 서대문구 남가좌동 270-1,서대문장애인종합복지관,37.5707379134269,126.913859515872,15,12,4,80.0
114,022-279-0660,서울특별시 종로구 종로5가 411-4 (지상1층),종로구립장애인 보호작업장,37.5702145928424,127.006600328041,12,12,4,100.0
115,02-846-0042,서울특별시 영등포구 신길동 440-57 영등포구 장애인 사랑나눔의집 1층,장애인 사랑나눔의집,37.4975471940885,126.907997714195,15,15,4,100.0
116,---,서울특별시 중랑구 면목동 346-7,한국교통장애인협회,37.5756306515701,127.081216091426,13,13,4,100.0
117,023-667-0870,서울특별시 영등포구 영등포동2가 94-379 영등포장애인복지관 지상1층,영등포장애인복지관상조회,37.5207965305533,126.91286719975,10,10,4,100.0
118,02-438-2691,서울특별시 중랑구 신내동 572-2,원광장애인종합복지관,37.6041998204778,127.096015927314,12,12,5,100.0
119,---,서울특별시 중랑구 묵동 22 중랑구립정보도서관 등,장애인협회,37.6152187439257,127.086939763858,10,11,4,110.0
120,---,서울특별시 영등포구 신길동 440-57 장애인사랑나눔의집,한국지체장애인협회영등포구지회,37.4975471940885,126.907997714195,10,10,4,100.0
121,062-513-0977,광주광역시 북구 동림동 24,장애인종합복지관,35.1853334954377,126.867934004933,10,10,3,100.0
122,-586-8034,대전광역시 중구 산성동 120-18,대전광역시시각장애인연합회,36.3038376617392,127.382649407532,13,11,4,84.62
123,---,부산광역시 동구 초량동 417-5,부산장애자신용협동조합,35.117439576021,129.038418349854,10,11,4,110.0
124,055-386-9932,경상남도 양산시 동면 금산리 1480 농산물종합유통센터,양산지체장애인협회,35.3068958130368,129.025280037965,10,11,4,110.0
125,052-294-1922,울산광역시 남구 신정동 646-4,울산장애인복지사업단,35.5389040897843,129.311535531989,10,11,4,110.0
126,032-876-3500,인천광역시 미추홀구 학익동 709-1,인천광역시시각장애인복지관,37.4381728437904,126.656042075444,11,12,3,109.09
127,---,"인천광역시 연수구 연수동 577-2 연수도서관, 1층",인천지체장애인협회연수구지회,37.4180312295665,126.685478762703,10,10,4,100.0
128,055-931-0005,경상남도 합천군 합천읍 합천리 129-5,사/법합천장애인협회자판기,35.5646063776822,128.170175529184,15,7,1,46.67
129,-212-4316,전라북도 전주시 덕진구 팔복동1가 138-6,팔복1동사무소장애인자판기,35.8536560969108,127.106263707796,20,12,5,60.0
130,063-254-3305,전라북도 전주시 덕진구 진북동 416-12,덕진보건소장애인자판기,35.8293535217858,127.134513259374,15,11,4,73.33
131,063-271-4271,전라북도 전주시 완산구 서완산동2가 71-31,서완산동장애인자판기,35.8092448909601,127.134901335642,10,10,3,100.0
132,063-271-4271,전라북도 전주시 완산구 삼천동1가 573-2,삼천1동장애인자판기,35.8007194445313,127.12168336626,10,11,4,110.0
133,---,전라북도 전주시 덕진구 덕진동1가 1314-2,덕진공원장애인자판기(2호기),35.8474066921268,127.122906000222,10,10,4,100.0
134,---,전라북도 전주시 덕진구 덕진동1가 1220-1,종합경기장주경기장앞장애인자판기,35.8394313882815,127.124736497702,12,11,3,91.67
135,---,전라북도 전주시 덕진구 덕진동1가 73-48,동물원장애인자판기,35.8558548708981,127.144386904613,12,11,3,91.67
136,063-271-4271,전라북도 전주시 덕진구 송천동2가 492-36,농수산물도매시장장애인자판기(1층),35.8687150917347,127.117828776326,15,15,3,100.0
137,---,전라북도 전주시 덕진구 덕진동1가 73-48,동물원장애인자판기1호기,35.8558548708981,127.144386904613,18,18,3,100.0
138,063-271-4271,전라북도 전주시 덕진구 송천동1가 453-7,송천2동사무소장애인자판기,35.8610859489652,127.119955732269,15,12,4,80.0
139,063-246-3917,전라북도 전주시 덕진구 우아동3가 744-82,큐오락실장애인자판기,35.8501657958562,127.156545093911,15,15,3,100.0
140,061-863-2538,전라남도 장흥군 장흥읍 건산리 379-1,장애인협회,34.6766222941756,126.908736748424,15,13,4,86.67
141,063-271-4271,전라북도 전주시 완산구 중노송동 225,중노1동장애인자판기,35.8244019703985,127.158361950317,20,17,4,85.0
142,---,전라북도 전주시 완산구 동서학동 150,동서학동장애인자판기,35.8094962743573,127.152240748988,15,14,3,93.33
143,-322-9414,전라북도 무주군 적상면 사천리 332-1,무주군장애인협회,35.9456238172734,127.659587464401,15,12,4,80.0
144,063-461-4636,전라북도 군산시 산북동 3612-4,장애인종합복지관,35.9597479246329,126.677452410097,19,15,3,78.95
145,---,전라북도 부안군 부안읍 봉덕리 551-2,부안군지체장애인협회자판기,35.7229148953497,126.735819392077,13,12,5,92.31
146,-254-3281,전라북도 전주시 덕진구 금암동 460-11,남원식당장애인자판기,35.8344980726925,127.133391582696,12,12,3,100.0
147,-271-4271,전라북도 전주시 덕진구 덕진동2가 190-1,예술회관장애인자판기,35.8478157724792,127.119781986525,10,29,3,290.0
148,-271-4271,전라북도 전주시 덕진구 덕진동1가 1357-5,덕진동사무소장애인자판기,35.8455110617058,127.120701043269,20,50,3,250.0
149,---,전라북도 전주시 덕진구 여의동 606-4,동산동사무소장애인자판기,35.8710967189312,127.074513843757,12,51,3,425.0
150,-271-4271,전라북도 전주시 덕진구 반월동 230-7,조촌동사무소장애인자판기,35.8751460187465,127.075997609722,12,10,3,83.33
151,063-271-4271,전라북도 전주시 덕진구 우아동3가 746-67,우아3동사무소 장애인자판기,35.8498210446573,127.159507959492,20,13,4,65.0
152,063-281-5705,전라북도 전주시 덕진구 금암동 1569-1,금암분관장애인자판기,35.8362909778138,127.14009543239,21,20,4,95.24
153,063-271-4271,전라북도 전주시 덕진구 인후동2가 11-9,인후2동사무소 장애인자판기,35.8393286408373,127.151124797434,16,16,4,100.0
154,-271-4271,전라북도 전주시 덕진구 진북동 1042-4,진북2동사무소장애인자판기,35.8278728231593,127.131436256671,18,17,3,94.44
155,---,제주특별자치도 제주시 이도일동 1660,탐라장애인복지관,33.5015024793687,126.524985524425,12,12,3,100.0
156,---,제주특별자치도 제주시 이도이동 1176-1 시청민원실서쪽벽,제주도지체장애인협회,33.4998056739686,126.53135203108,15,15,4,100.0
157,064-756-4980,제주특별자치도 제주시 연동 312-1 도청민원실앞 휴게실,제주도지체장애인협회,33.4888985854354,126.498089693916,20,17,3,85.0
158,---,제주특별자치도 제주시 연동 322-1 북군청민월실과 재정과사이,제주도지체장애인협회,33.4890451973362,126.500458122035,15,14,2,93.33
159,---,제주특별자치도 제주시 연동 311-46,제주도지체장애인협회,33.4902681236701,126.497983228882,20,17,3,85.0
160,---,제주특별자치도 제주시 이도이동 1176-1 시청민원실 서쪽벽,제주도지체장애인협회,33.4998056739686,126.53135203108,16,14,4,87.5
161,064-726-1196,제주특별자치도 제주시 오라이동 898-8,(사)한국신장장애인협회제주협회제주시지부,33.4750856724211,126.515224339224,12,35,2,291.67
162,064-711-3129,제주특별자치도 제주시 노형동 1055-8 (월랑로33),제주도장애인총연합회구내,33.4880595983292,126.476608634531,20,11,4,55.0
163,---,경기도 여주시 홍문동 34,장애인복지회여주군지회,37.2963416767563,127.636451267643,15,15,3,100.0
164,---,경기도 여주시 홍문동 19 (만남앞),장애인복지회여주군지회,37.297045449599,127.636219563138,15,15,2,100.0
165,---,경기도 여주시 홍문동 272-3 (성좌앞),장애인복지회여주군지회,37.2901837914282,127.636673769195,15,10,4,66.67
166,---,경기도 여주시 홍문동 73-14 (한영슈퍼앞),장애인복지회여주군지회,37.2951285469698,127.63668453954,14,14,3,100.0
167,---,경기도 여주시 홍문동 111-12 (중앙정육점옆),장애인복지회여주군지회,37.2964131645185,127.637214729156,15,11,3,73.33
168,---,경기도 여주시 홍문동 67-12 (인혜화원앞),장애인복지회여주군지회,37.2947066456412,127.635921525131,15,13,4,86.67
169,---,경기도 여주시 상동 285-2 (읍사무소앞),장애인복지회여주군지회,37.2951353828112,127.639811206577,15,11,4,73.33
170,---,경기도 여주시 하동 193-8 (뮤직랜드앞),장애인복지회여주군지회,37.2986017579914,127.633554015283,15,12,3,80.0
171,---,경기도 여주시 창동 2-2 (아몬드빵집앞),장애인복지회여주군지회,37.2990363741285,127.635359307379,12,10,3,83.33
172,---,경기도 여주시 창동 55-3 (녹십자약국),장애인복지회여주군지회,37.2968841682739,127.635514890151,16,10,4,62.5
173,031-883-2100,경기도 여주시 북내면 외룡리 298-4,여주군장애인복지관,37.3623039172532,127.670896420113,15,15,4,100.0
174,-873-1513,경기도 의정부시 호원동 119-22 엄홍길기념관앞,의정부 지체장애인협회,37.7088010940917,127.047253510067,13,12,4,92.31
175,---,경기도 의왕시 내손동 631-2,신체장애인 복지회 의왕지회,37.3887228715334,126.976071434145,12,11,3,91.67
176,031-873-1513,경기도 의정부시 민락동 735-17 장애인복지관내,의정부 지체장애인협회,37.7436752702697,127.09218128534,12,10,3,83.33
177,022-263-5930,서울특별시 중구 을지로6가 18-14 중구구민회관3층,사단법인서울지체장애인협회서울지부,37.5685637303537,127.006008861085,12,11,3,91.67
178,022-263-5930,서울특별시 중구 을지로6가 18-14 중구구민회관3층,사단법인서울지체장애인협회중구지회,37.5685637303537,127.006008861085,15,14,3,93.33
179,022-263-5930,서울특별시 중구 을지로6가 18-14 중구구민회관1층,사단법인서울지체장애인협회중구지회,37.5685637303537,127.006008861085,20,16,3,80.0
180,022-263-5930,서울특별시 중구 을지로6가 18-14 동평주차장관리실,사단법인서울지체장애인협회중구지회,37.5685637303537,127.006008861085,16,14,3,87.5
181,022-263-5930,서울특별시 중구 을지로6가 18-14 동화시장1층,사단법인서울지체장애인협회중구지회,37.5685637303537,127.006008861085,18,15,3,83.33
182,---,광주광역시 서구 농성동 299 서구청,새광주장애인총연합회(서구청),35.1520717493182,126.89001193247,15,9,3,60.0
183,042-822-3838,대전광역시 유성구 송강동 9,유성장애인협회,36.4354790480039,127.384589408396,15,15,4,100.0
184,042-822-3838,대전광역시 유성구 원내동 358,유성장애인협회,36.2950002924524,127.320565238934,15,12,4,80.0
185,042-625-4678,대전광역시 서구 둔산동 908,장애인연합회 상록스토아,36.3613116133279,127.393306371061,12,12,3,100.0
186,042-611-6188,대전광역시 서구 둔산동 1300 서구청,서구지체장애인협회,36.3550707827714,127.38380833742,15,10,3,66.67
187,---,대전광역시 서구 탄방동 608 (국민연금대전지사 1층),(사)대전광역시장애인단체총연합회,36.3450343573219,127.381089586752,17,16,3,94.12
188,042-611-6188,대전광역시 서구 둔산동 1300 서구청 4층,대전시서구지체장애인협회,36.3550707827714,127.38380833742,12,11,2,91.67
189,052-288-4240,울산광역시 북구 무룡동 935-232,지체장애인북구지회,35.604930299044,129.43264722204,18,16,3,88.89
190,---,울산광역시 북구 양정동 776-1,장애인협회북구지회,35.548390905738,129.386365386967,15,12,2,80.0
191,032-884-2373,인천광역시 미추홀구 주안동 1580-38,한국지체장애인협회,37.4552727019121,126.693755771316,10,9,2,90.0
192,---,인천광역시 미추홀구 학익동 709-1 시각장애인복지관,인천광역시시각장애인복지관,37.4381728437904,126.656042075444,11,11,3,100.0
193,---,전라남도 영광군 영광읍 단주리 666,영광군장애인협회자판기,35.2909986158748,126.494958797974,10,10,3,100.0
194,-453-3726,전라남도 무안군 청계면 월선리 73-2,목포장애인요양원,34.8828070412111,126.462906893555,10,8,3,80.0
195,061-392-5971,전라남도 장성군 장성읍 영천리 1485-5,장애인협회,35.3044576440964,126.785919484656,15,13,3,86.67
196,061-393-1334,전라남도 장성군 북일면 신흥리 198-1,장애인협회,35.3745594738828,126.807183839344,20,17,3,85.0
197,061-781-0505,전라남도 구례군 구례읍 백련리 576,장애인복지관,35.2159831749091,127.461397490652,15,14,4,93.33
