,개방서비스명,소재지전화,소재지전체주소,도로명전체주소,사업장명,좌표정보(x),좌표정보(y)
30,식품자동판매기업,-,경기도 수원시 장안구 하광교동 산 57-2,경기도 수원시 장안구 광교산로 166 (하광교동),반딧불이자판기(사)한국교통장애인협회수원시지회,37.3018330422411,127.032338769953
31,식품자동판매기업,064 7564980,제주특별자치도 제주시 이도이동 1176-1,"제주특별자치도 제주시 광양9길 10 (이도이동, 제주도지체장애인협회)",제주도지체장애인협회,33.4998056739686,126.53135203108
32,식품자동판매기업,064 7564980,제주특별자치도 제주시 연동 312-1 (문연로2),"제주특별자치도 제주시 문연로 6 (연동,(문연로2))",제주도지체장애인협회,33.4888985854354,126.498089693916
33,식품자동판매기업,031  4997060,경기도 시흥시 정왕동 1381-9 시흥시장애인보호작업장,"경기도 시흥시 마유로82번길 117, 시흥시장애인보호작업장 1층 3마417-4호 (정왕동)",시흥시장애인보호작업장,37.3231044223092,126.727170622716
34,식품자동판매기업,062 9430420,광주광역시 광산구 우산동 1595-1,광주광역시 광산구 무진대로 276 (우산동),광산구장애인복지관,35.160875364744,126.810598703652
35,식품자동판매기업,055 8630080,경상남도 남해군 남해읍 남변리 96-2,경상남도 남해군 남해읍 에코파크길 7,경남지체장애인협회 남해군지회,34.8326967333801,127.902893331799
36,식품자동판매기업,051 362 7755,부산광역시 북구 금곡동 54-3 북구장애인종합복지관,부산광역시 북구 금곡대로616번길 145 (금곡동),북구장애인종합복지관,35.267061267749,129.017528327722
37,식품자동판매기업,061 2770363,전라남도 목포시 상동 803-3,전라남도 목포시 하당로205번길 12 (상동),목포장애인회관,34.8090100402868,126.418883165327
38,식품자동판매기업,-,경기도 화성시 능동 1119 (동탄3동 동사무소내),"경기도 화성시 동탄지성로 151 (능동,(동탄3동 동사무소내))",장애인기업협회,37.2099607408298,127.058678216004
39,식품자동판매기업,-,부산광역시 해운대구 반여동 1502-147 해운대구장애인복지관,"부산광역시 해운대구 선수촌로207번길 81, 해운대구장애인복지관 (반여동)",해운대구장애인복지관,35.2107576290966,129.121925882488
40,식품자동판매기업,-,부산광역시 해운대구 석대동 429,부산광역시 해운대구 석대로 29 (석대동),해운대장애인근로사업장,35.2220513937745,129.12581156519
41,식품자동판매기업,051 262 2461,부산광역시 사하구 구평동 43 사하구장애인종합복지관,"부산광역시 사하구 사하로68번길 65, 사하구장애인종합복지관 (구평동)",사하구장애인종합복지관,35.0854343592083,128.993056067158
42,식품자동판매기업,054 2784572,경상북도 포항시 남구 해도동 181-1,경상북도 포항시 남구 형산강북로 389 (해도동),장애인종합복지회관,36.0099914001467,129.367355331552
43,식품자동판매기업,063 224 4315,전라북도 전주시 완산구 평화동1가 599-1 전주장애인종합복지관,"전라북도 전주시 완산구 백제대로 20-41, 전주장애인종합복지관 1층 (평화동1가)",전주장애인복지관,35.7975578401607,127.13232287875
44,식품자동판매기업,063 562 3777,전라북도 고창군 고창읍 율계리 113 고창군장애인복지관,"전라북도 고창군 고창읍 전봉준로 88-9, 고창군장애인복지관",고창군장애인복지관자판기,35.4441290575993,126.682233945814
45,식품자동판매기업,-,전라북도 김제시 검산동 1034 (1030-1의 앞도로),-,한국신장장애인협회전북협회김제지부,35.8076118329758,126.894823859002
46,식품자동판매기업,02 9894215,서울특별시 강북구 번동 306-12,서울특별시 강북구 오현로 189 (번동),강북장애인종합복지관,37.6287936314181,127.039037378632
47,식품자동판매기업,055 933 7878,경상남도 합천군 합천읍 합천리 524-1번지,"경상남도 합천군 합천읍 동서로 39, 1층",시각장애인사무실자판기,35.5678929928414,128.156834809985
48,식품자동판매기업,031 398 8887,경기도 군포시 산본동 1101 군포문화예술회관,"경기도 군포시 고산로 599, 1층 (산본동, 군포문화예술회관)",사)군포시장애인단체총연합회,37.3662812176059,126.927300523157
49,식품자동판매기업,031 7313403,경기도 성남시 분당구 구미동 300 서울대병원 구내,"경기도 성남시 분당구 구미로173번길 82 (구미동,서울대병원 구내)",성남시장애인협회,37.349786822389,127.124231209576
50,식품자동판매기업,-,서울특별시 노원구 공릉동 708 공릉1단지 장애인협회사무실앞,-,장애인협회,37.6301101718169,127.070151742228
51,식품자동판매기업,043 420 6300,충청북도 단양군 단양읍 별곡리 315 단양문화예술회관,"충청북도 단양군 단양읍 중앙1로 32, 단양문화예술회관",단양장애인복지관,36.9856516558362,128.36819060159
52,식품자동판매기업,0435335758,충청북도 진천군 진천읍 벽암리 570-1 생거진천종합사회복지관,"충청북도 진천군 진천읍 중앙북1길 11-10, 생거진천종합사회복지관",(사)충북지체장애인협회 진천군지회,36.8606401694385,127.439516841803
53,식품자동판매기업,055 8839167,경상남도 하동군 하동읍 읍내리 1417,경상남도 하동군 하동읍 하동공원길 21-29,지체장애인협회,35.0675511074589,127.744689705948
54,식품자동판매기업,054 6336415,경상북도 영주시 휴천동 42-1,경상북도 영주시 원당로52번길 25 (휴천동),영주시장애인종합복지관자판기,36.8186395373863,128.622803913253
55,식품자동판매기업,054 5560042,경상북도 문경시 모전동 214-1,경상북도 문경시 시청2길 34 (모전동),문경시장애인종합복지관,36.5872974713123,128.186669066585
56,식품자동판매기업,043 423 2828,충청북도 단양군 단양읍 별곡리 319 단양장애인복지관,"충청북도 단양군 단양읍 별곡5길 5, 단양장애인복지관",단양장애인복지관,36.9853109125627,128.368657790813
57,식품자동판매기업,044 850 3080,세종특별자치시 종촌동 674,"세종특별자치시 도움1로 116 (종촌동, 종합복지지원센터)",종촌종합복지센터 장애인보호작업장,36.5026589136608,127.246775356394
58,식품자동판매기업,-,"제주특별자치도 제주시 이도이동 414 제주학생문화원, 제주도서관","제주특별자치도 제주시 연삼로 489, 제주도서관 1층 (이도이동)",제주장애인기업빛나라주식회사,33.5006347351343,126.54129052008
59,식품자동판매기업,055 2236800,경상남도 창원시 의창구 봉곡동 180-6,-,경남장애인복지회관신관,35.2503488575377,128.679458682061
60,식품자동판매기업,055 2662223,경상남도 창원시 의창구 봉곡동 179-1,경상남도 창원시 의창구 봉곡로97번길 85 (봉곡동),경남장애인종합복지관,35.250414491147,128.678450283931
61,식품자동판매기업,055 6011001,경상남도 창원시 성산구 신월동 31-15 경상남도여성장애인작업장,-,경상남도여성장애인작업장,35.2269529143256,128.694121620074
62,식품자동판매기업,032 884 2373,인천광역시 서구 가좌동 198 서구도서관,"인천광역시 서구 건지로334번길 45 (가좌동,서구도서관)",인천지체장애인협회,37.4942686514713,126.679299276429
63,식품자동판매기업,032 884 2373,인천광역시 미추홀구 주안동 1580-38 주안도서관,-,인천지체장애인협회,37.4569893802434,126.69222395922
64,식품자동판매기업,032 876 3500,인천광역시 미추홀구 학익동 709-1,인천광역시 미추홀구 한나루로357번길 105-19 (학익동),인천시각장애인연합회,37.4381728437904,126.656042075444
65,식품자동판매기업,032 8889969,인천광역시 중구 항동7가 60,인천광역시 중구 연안부두로 24-1 (항동7가),한국신체장애복지회,37.4561554120436,126.602915694809
66,식품자동판매기업,-,충청남도 홍성군 홍성읍 옥암리 62-8,-,홍성군장애인복지관,36.5976115345937,126.655992785322
67,식품자동판매기업,041 631 2616,충청남도 홍성군 홍성읍 옥암리 62-8,충청남도 홍성군 홍성읍 조양로33번길 17,홍성군지체장애인협회,36.5976115345937,126.655992785322
68,식품자동판매기업,3343457,경기도 용인시 처인구 김량장동 303-3,경기도 용인시 처인구 금령로78번길 7 (김량장동),용인시장애인협회,37.2344722565419,127.206034057773
69,식품자동판매기업,3343457,경기도 용인시 처인구 마평동 704,-,용인시장애인협회,37.2384857706596,127.212112955707
70,식품자동판매기업,3343457,경기도 용인시 처인구 마평동 704,-,용인시장애인협회,37.2384857706596,127.212112955707
71,식품자동판매기업,031 8953200,경기도 용인시 기흥구 언남동 342-1 1층,-,용인시서북부장애인종합복지관,37.2966668518739,127.118835598073
72,식품자동판매기업,031 421 1567,경기도 안양시 동안구 평촌동 934-1 농수산물도매시장(청과동1층),-,안양시 장애인 스포츠단,37.3825017245671,126.970012470844
73,식품자동판매기업,031 421 1567,경기도 안양시 동안구 평촌동 934-1 농수산물도매시장(수산동지층),-,안양시 장애인 스포츠단,37.3825017245671,126.970012470844
74,식품자동판매기업,031 421 1567,경기도 안양시 동안구 평촌동 934 농수산물도매시장(수산동지층),-,안양시 장애인 스포츠단,37.3828053726302,126.967631345414
75,식품자동판매기업,031 421 1567,경기도 안양시 동안구 평촌동 934-1 농수산물도매시장(수산동지층),-,안양시 장애인 스포츠단,37.3825017245671,126.970012470844
76,식품자동판매기업,2820611,경기도 용인시 수지구 풍덕천동 720 (수지출장소 내 보건소건물),-,장애인서부상담소,37.3221835995001,127.097458768088
77,식품자동판매기업,3343457,경기도 용인시 처인구 김량장동 286 처인구청 종합민원실,"경기도 용인시 처인구 금령로 50 (김량장동,처인구청 종합민원실)",(사)용인시지채장애인협회,37.2345930174077,127.20157145388
78,식품자동판매기업,3343457,"경기도 용인시 처인구 삼가동 556 문화복지행정타운 청소년수련관,문화예술원","경기도 용인시 처인구 중부대로 1199 (삼가동,문화복지행정타운 청소년수련관,문화예술원)",용인시장애인협회(수련관),37.2410742217657,127.177721812539
79,식품자동판매기업,3343457,경기도 용인시 처인구 역북동 365-2 차량등록사업소,"경기도 용인시 처인구 중부대로 1217 (역북동,차량등록사업소)",용인시장애인협회(차량사업소),37.2386982068426,127.180495477958
80,식품자동판매기업,-,서울특별시 은평구 불광동 304-2,-,한국장애인협회 은평지회,37.6178235676098,126.922740128199
81,식품자동판매기업,0222968309,서울특별시 성동구 도선동 16-1 보건소 지상1층,-,지체장애인협회-성동지회,37.563475276854,127.035599216666
82,식품자동판매기업,02 3766280,서울특별시 서대문구 남가좌동 270-1 서대문장애인종합복지관,-,서대문장애인종합복지관,37.5707379134269,126.913859515872
83,식품자동판매기업,042 2228182,대전광역시 동구 정동 7-14,-,장애인의수족보조기자판기,36.3350015205465,127.430695602575
84,식품자동판매기업,042 285 0030,대전광역시 동구 판암동 240,-,판암장애인보호작업장,36.3202395918063,127.460087779772
85,식품자동판매기업,-,부산광역시 강서구 대저2동 1937,-,장애인총연합회강서구지부,35.1792943851752,128.956942419297
86,식품자동판매기업,051 2653505,부산광역시 서구 토성동5가 53-2,-,장애인복지회 자판기,35.0964439798123,129.021808904944
87,식품자동판매기업,-,인천광역시 중구 신흥동3가 30-17 중구장애인종합복지관 2층,"인천광역시 중구 매소홀로 10 (신흥동3가, 중구장애인종합복지관 2층 )",장애인종합복지관 자판기,37.4526313101,126.628436181281
88,식품자동판매기업,032 421 2846,인천광역시 중구 인현동 5,인천광역시 중구 자유공원로 12 (인현동),(사)인천지체장애인협회,37.4757504483578,126.629737056532
89,식품자동판매기업,063 2714271,전라북도 전주시 덕진구 송천동2가 1035,-,환경사업소 장애인자판기,35.875318731651,127.103672410404
90,식품자동판매기업,063 2714271,전라북도 전주시 완산구 서노송동 740-3,-,서노송동사무소 장애인자판기,35.8282580491002,127.14601421162
91,식품자동판매기업,063 2290061,전라북도 전주시 완산구 평화동1가 599-1 장애인종합복지관,"전라북도 전주시 완산구 백제대로 20-41 (평화동1가,장애인종합복지관)",전주장애인종합복지관,35.7975578401607,127.13232287875
92,식품자동판매기업,063 2714271,전라북도 전주시 덕진구 송천동1가 395-28,-,송천1동사무소 장애인자판기,35.8571219183137,127.12098799828
93,식품자동판매기업,063 5611080,전라북도 고창군 고창읍 월곡리 620,-,고창군 장애인 연합회,35.4375436041694,126.712964233684
94,식품자동판매기업,063 2714271,전라북도 전주시 덕진구 금암동 470-5,-,금암1동사무소 장애인자판기,35.837601168283,127.132925821721
95,식품자동판매기업,063 2714271,전라북도 전주시 덕진구 인후동1가 766-9,-,인후1동사무소 장애인자판기,35.8374881217079,127.156732141155
96,식품자동판매기업,063 2714271,전라북도 전주시 덕진구 인후동1가 456-37,-,인후3동사무소 장애인자판기,35.8350907970115,127.15768159228
97,식품자동판매기업,063 5320700,전라북도 정읍시 수성동 965-1,전라북도 정읍시 수성1로 58 (수성동),정읍시장애인종합복지관자판기,35.5775046140518,126.853457860391
98,식품자동판매기업,-,충청남도 서천군 서면 도둔리 1222-6,-,장애인협회,36.160121949841,126.505366609077
99,식품자동판매기업,031 8422511,경기도 양주시 남방동 1-1,경기도 양주시 부흥로 1533 (남방동),(사)장애인미디어인권,37.7850193816047,127.045245308914
100,식품자동판매기업,031 876 1224,경기도 의정부시 의정부동 326-2,"경기도 의정부시 시민로 1, 지상1층 (의정부동, 의정부시청)",의정부 지체장애인협회,37.7380611482356,127.033897957884
101,식품자동판매기업,031 876 1224,경기도 의정부시 의정부동 326-2,경기도 의정부시 시민로 1 (의정부동),의정부 지체장애인협회,37.7380611482356,127.033897957884
102,식품자동판매기업,031 876 1224,경기도 의정부시 의정부동 326-2,경기도 의정부시 시민로 1 (의정부동),의정부 지체장애인협회,37.7380611482356,127.033897957884
103,식품자동판매기업,031 876 1224,경기도 의정부시 의정부동 326-2,경기도 의정부시 시민로 1 (의정부동),의정부 지체장애인협회,37.7380611482356,127.033897957884
104,식품자동판매기업,031 421 1567,경기도 안양시 동안구 평촌동 934-1 농수산물도매시장,-,안양시 장애인 스포츠단,37.3825017245671,126.970012470844
105,식품자동판매기업,031 421 1567,경기도 안양시 동안구 평촌동 934-1 농수산물도매시장(관리동2층),-,안양시 장애인 스포츠단,37.3825017245671,126.970012470844
106,식품자동판매기업,031 421 1567,경기도 안양시 동안구 평촌동 934-1 농수산물도매시장(청과동1층),-,안양시 장애인 스포츠단,37.3825017245671,126.970012470844
107,식품자동판매기업,031 421 1567,경기도 안양시 동안구 평촌동 934-1 농수산물도매시장(수산동1층),-,안양시 장애인 스포츠단,37.3825017245671,126.970012470844
108,식품자동판매기업,031 421 1567,경기도 안양시 동안구 평촌동 934-1 농수산물도매시장(수산동2층),-,안양시 장애인 스포츠단,37.3825017245671,126.970012470844
109,식품자동판매기업,031 421 1567,경기도 안양시 동안구 평촌동 934-1 농수산물도매시장(관리동1층),-,안양시 장애인 스포츠단,37.3825017245671,126.970012470844
110,식품자동판매기업,07089339901,"서울특별시 은평구 역촌동 14-34 (은평구평생학습관 1층, 2층)","서울특별시 은평구 서오릉로 87 (역촌동,(은평구평생학습관 1층, 2층))",(사)서울시지체장애인협회 은평구지회,37.6077986822948,126.921188292247
111,식품자동판매기업,02 7229705,서울특별시 서대문구 남가좌동 270-1,-,장애인종합복지관,37.5707379134269,126.913859515872
112,식품자동판매기업,0222921063,서울특별시 성동구 도선동 365-2,-,성동구립장애인작업장,37.5640629734064,127.031224502937
113,식품자동판매기업,02 3766283,서울특별시 서대문구 남가좌동 270-1,-,서대문장애인종합복지관,37.5707379134269,126.913859515872
114,식품자동판매기업,0222790660,서울특별시 종로구 종로5가 411-4 (지상1층),"서울특별시 종로구 종로40길 14 (종로5가,(지상1층))",종로구립장애인 보호작업장,37.5702145928424,127.006600328041
115,식품자동판매기업,02   8460042,서울특별시 영등포구 신길동 440-57 영등포구 장애인 사랑나눔의집 1층,"서울특별시 영등포구 신길로 55 (신길동,영등포구 장애인 사랑나눔의집 1층)",장애인 사랑나눔의집,37.4975471940885,126.907997714195
116,식품자동판매기업,-,서울특별시 중랑구 면목동 346-7,-,한국교통장애인협회,37.5756306515701,127.081216091426
117,식품자동판매기업,02  36670870,서울특별시 영등포구 영등포동2가 94-379 영등포장애인복지관 지상1층,"서울특별시 영등포구 버드나루로 22 (영등포동2가, 영등포장애인복지관 지상1층)",영등포장애인복지관상조회,37.5207965305533,126.91286719975
118,식품자동판매기업,02 4382691,서울특별시 중랑구 신내동 572-2,서울특별시 중랑구 신내로 56 (신내동),원광장애인종합복지관,37.6041998204778,127.096015927314
119,식품자동판매기업,-,서울특별시 중랑구 묵동 22 중랑구립정보도서관 등,"서울특별시 중랑구 신내로15길 197 (묵동,중랑구립정보도서관 등)",장애인협회,37.6152187439257,127.086939763858
120,식품자동판매기업,-,서울특별시 영등포구 신길동 440-57 장애인사랑나눔의집,"서울특별시 영등포구 신길로 55 (신길동, 장애인사랑나눔의집)",한국지체장애인협회영등포구지회,37.4975471940885,126.907997714195
121,식품자동판매기업,062 5130977,광주광역시 북구 동림동 24,-,장애인종합복지관,35.1853334954377,126.867934004933
122,식품자동판매기업,5868034,대전광역시 중구 산성동 120-18,-,대전광역시시각장애인연합회,36.3038376617392,127.382649407532
123,식품자동판매기업,-,부산광역시 동구 초량동 417-5,-,부산장애자신용협동조합,35.117439576021,129.038418349854
124,식품자동판매기업,055 386 9932,경상남도 양산시 동면 금산리 1480 농산물종합유통센터,경상남도 양산시 동면 양산대로 377 (농산물종합유통센터),양산지체장애인협회,35.3068958130368,129.025280037965
125,식품자동판매기업,052 294 1922,울산광역시 남구 신정동 646-4,울산광역시 남구 중앙로 201 (신정동),울산장애인복지사업단,35.5389040897843,129.311535531989
126,식품자동판매기업,032 8763500,인천광역시 미추홀구 학익동 709-1,-,인천광역시시각장애인복지관,37.4381728437904,126.656042075444
127,식품자동판매기업,-,"인천광역시 연수구 연수동 577-2 연수도서관, 1층","인천광역시 연수구 함박뫼로152번길 96, 지상1층 (연수동, 연수도서관)",인천지체장애인협회연수구지회,37.4180312295665,126.685478762703
128,식품자동판매기업,055  9310005,경상남도 합천군 합천읍 합천리 129-5,경상남도 합천군 합천읍 황강체육공원로 93,사/법합천장애인협회자판기,35.5646063776822,128.170175529184
129,식품자동판매기업,2124316,전라북도 전주시 덕진구 팔복동1가 138-6,-,팔복1동사무소장애인자판기,35.8536560969108,127.106263707796
130,식품자동판매기업,063 2543305,전라북도 전주시 덕진구 진북동 416-12,전라북도 전주시 덕진구 벚꽃로 55 (진북동),덕진보건소장애인자판기,35.8293535217858,127.134513259374
131,식품자동판매기업,0632714271,전라북도 전주시 완산구 서완산동2가 71-31,-,서완산동장애인자판기,35.8092448909601,127.134901335642
132,식품자동판매기업,0632714271,전라북도 전주시 완산구 삼천동1가 573-2,-,삼천1동장애인자판기,35.8007194445313,127.12168336626
133,식품자동판매기업,-,전라북도 전주시 덕진구 덕진동1가 1314-2,-,덕진공원장애인자판기(2호기),35.8474066921268,127.122906000222
134,식품자동판매기업,-,전라북도 전주시 덕진구 덕진동1가 1220-1,전라북도 전주시 덕진구 기린대로 451 (덕진동1가),종합경기장주경기장앞장애인자판기,35.8394313882815,127.124736497702
135,식품자동판매기업,-,전라북도 전주시 덕진구 덕진동1가 73-48,-,동물원장애인자판기,35.8558548708981,127.144386904613
136,식품자동판매기업,063 2714271,전라북도 전주시 덕진구 송천동2가 492-36,-,농수산물도매시장장애인자판기(1층),35.8687150917347,127.117828776326
137,식품자동판매기업,-,전라북도 전주시 덕진구 덕진동1가 73-48,-,동물원장애인자판기1호기,35.8558548708981,127.144386904613
138,식품자동판매기업,063 2714271,전라북도 전주시 덕진구 송천동1가 453-7,-,송천2동사무소장애인자판기,35.8610859489652,127.119955732269
139,식품자동판매기업,063 2463917,전라북도 전주시 덕진구 우아동3가 744-82,-,큐오락실장애인자판기,35.8501657958562,127.156545093911
140,식품자동판매기업,061 8632538,전라남도 장흥군 장흥읍 건산리 379-1,전라남도 장흥군 장흥읍 흥성로 55,장애인협회,34.6766222941756,126.908736748424
141,식품자동판매기업,063 2714271,전라북도 전주시 완산구 중노송동 225,-,중노1동장애인자판기,35.8244019703985,127.158361950317
142,식품자동판매기업,-,전라북도 전주시 완산구 동서학동 150,-,동서학동장애인자판기,35.8094962743573,127.152240748988
143,식품자동판매기업,3229414,전라북도 무주군 적상면 사천리 332-1,-,무주군장애인협회,35.9456238172734,127.659587464401
144,식품자동판매기업,063 4614636,전라북도 군산시 산북동 3612-4,-,장애인종합복지관,35.9597479246329,126.677452410097
145,식품자동판매기업,-,전라북도 부안군 부안읍 봉덕리 551-2,-,부안군지체장애인협회자판기,35.7229148953497,126.735819392077
146,식품자동판매기업,2543281,전라북도 전주시 덕진구 금암동 460-11,전라북도 전주시 덕진구 가리내로 30 (금암동),남원식당장애인자판기,35.8344980726925,127.133391582696
147,식품자동판매기업,2714271,전라북도 전주시 덕진구 덕진동2가 190-1,전라북도 전주시 덕진구 권삼득로 407 (덕진동2가),예술회관장애인자판기,35.8478157724792,127.119781986525
148,식품자동판매기업,2714271,전라북도 전주시 덕진구 덕진동1가 1357-5,-,덕진동사무소장애인자판기,35.8455110617058,127.120701043269
149,식품자동판매기업,-,전라북도 전주시 덕진구 여의동 606-4,-,동산동사무소장애인자판기,35.8710967189312,127.074513843757
150,식품자동판매기업,2714271,전라북도 전주시 덕진구 반월동 230-7,-,조촌동사무소장애인자판기,35.8751460187465,127.075997609722
151,식품자동판매기업,063 2714271,전라북도 전주시 덕진구 우아동3가 746-67,-,우아3동사무소 장애인자판기,35.8498210446573,127.159507959492
152,식품자동판매기업,063 2815705,전라북도 전주시 덕진구 금암동 1569-1,-,금암분관장애인자판기,35.8362909778138,127.14009543239
153,식품자동판매기업,063 2714271,전라북도 전주시 덕진구 인후동2가 11-9,-,인후2동사무소 장애인자판기,35.8393286408373,127.151124797434
154,식품자동판매기업,2714271,전라북도 전주시 덕진구 진북동 1042-4,-,진북2동사무소장애인자판기,35.8278728231593,127.131436256671
155,식품자동판매기업,-,제주특별자치도 제주시 이도일동 1660,-,탐라장애인복지관,33.5015024793687,126.524985524425
156,식품자동판매기업,-,제주특별자치도 제주시 이도이동 1176-1 시청민원실서쪽벽,-,제주도지체장애인협회,33.4998056739686,126.53135203108
157,식품자동판매기업,064 7564980,제주특별자치도 제주시 연동 312-1 도청민원실앞 휴게실,-,제주도지체장애인협회,33.4888985854354,126.498089693916
158,식품자동판매기업,-,제주특별자치도 제주시 연동 322-1 북군청민월실과 재정과사이,-,제주도지체장애인협회,33.4890451973362,126.500458122035
159,식품자동판매기업,-,제주특별자치도 제주시 연동 311-46,-,제주도지체장애인협회,33.4902681236701,126.497983228882
